consumption_by_source,residential_total_final_consumption,year,Units,commercial_and_public_services_total_final,iso_alpha_3
natural_gas,,2000, TJ,,KGZ
oil_products,413.0,2000, TJ,,KGZ
solid_biomass,,2000, TJ,,KGZ
electricity,1170.0,2000, TJ,529.0,LAO
oil_products,49.0,2000, TJ,49.0,LAO
solid_biomass,38965.0,2000, TJ,8248.0,LAO
Heat,18411.0,2000, TJ,5932.0,LVA
coal,522.0,2000, TJ,1482.0,LVA
electricity,4280.0,2000, TJ,5565.0,LVA
natural_gas,2658.0,2000, TJ,1851.0,LVA
oil_products,1455.0,2000, TJ,1670.0,LVA
solid_biomass,28228.0,2000, TJ,3283.0,LVA
electricity,13348.0,2000, TJ,5864.0,LBN
electricity,13348.0,2000, TJ,48.0,LBN
electricity,101.0,2000, TJ,5864.0,LBN
electricity,101.0,2000, TJ,48.0,LBN
oil_products,22906.0,2000, TJ,,LBN
solid_biomass,4454.0,2000, TJ,,LBN
electricity,21474.0,2000, TJ,,LBY
oil_products,36367.0,2000, TJ,,LBY
solid_biomass,5843.0,2000, TJ,,LBY
Heat,127.0,2000, TJ,,LIE
coal,17336.0,2000, TJ,502.0,LIE
electricity,2763255.0,2000, TJ,1674.0,LIE
electricity,2763255.0,2000, TJ,24119.0,LIE
electricity,55060.0,2000, TJ,1674.0,LIE
electricity,55060.0,2000, TJ,24119.0,LIE
natural_gas,277072.0,2000, TJ,233278.0,LIE
oil_products,941813.0,2000, TJ,937270.0,LIE
solid_biomass,4435.0,2000, TJ,4271.0,LIE
Heat,20253.0,2000, TJ,7032.0,LTU
coal,920.0,2000, TJ,1876.0,LTU
electricity,6361.0,2000, TJ,6739.0,LTU
natural_gas,4356.0,2000, TJ,1302.0,LTU
oil_products,3220.0,2000, TJ,748.0,LTU
solid_biomass,22048.0,2000, TJ,1703.0,LTU
Heat,,2000, TJ,503.0,LUX
coal,63.0,2000, TJ,,LUX
electricity,2852.0,2000, TJ,5929.0,LUX
electricity,0.0,2000, TJ,5929.0,LUX
natural_gas,6557.0,2000, TJ,6218.0,LUX
oil_products,9506.0,2000, TJ,2543.0,LUX
solid_biomass,632.0,2000, TJ,16.0,LUX
electricity,849.0,2000, TJ,197.0,MDG
oil_products,1734.0,2000, TJ,,MDG
solid_biomass,73004.0,2000, TJ,35536.0,MDG
electricity,40820.0,2000, TJ,61894.0,MYS
natural_gas,167.0,2000, TJ,519.0,MYS
oil_products,28279.0,2000, TJ,30263.0,MYS
solid_biomass,13786.0,2000, TJ,,MYS
Heat,,2000, TJ,,MLT
electricity,2012.0,2000, TJ,1814.0,MLT
electricity,,2000, TJ,1814.0,MLT
oil_products,1165.0,2000, TJ,,MLT
solid_biomass,,2000, TJ,,MLT
electricity,1771.0,2000, TJ,1350.0,MUS
oil_products,2235.0,2000, TJ,189.0,MUS
solid_biomass,255.0,2000, TJ,,MUS
electricity,130060.0,2000, TJ,63230.0,MEX
electricity,130060.0,2000, TJ,698.0,MEX
electricity,1038.0,2000, TJ,63230.0,MEX
electricity,1038.0,2000, TJ,698.0,MEX
natural_gas,18877.0,2000, TJ,6169.0,MEX
oil_products,319690.0,2000, TJ,72532.0,MEX
solid_biomass,284975.0,2000, TJ,,MEX
Heat,2929.0,2000, TJ,1300.0,MDA
coal,929.0,2000, TJ,1189.0,MDA
electricity,5137.0,2000, TJ,3657.0,MDA
natural_gas,7990.0,2000, TJ,1855.0,MDA
